"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"Brightburn","2019","Horror","R",91,58,67,-9
"Brigsby Bear","2017","Comedy","PG-13",97,82,86,-4
"Bring It On","2000","Comedy","PG-13",98,63,66,-3
"Bringing Down the House","2003","Comedy","PG-13",105,34,49,-15
"Brokeback Mountain","2005","Drama","R",134,87,82,5
"Broken City","2013","Drama","R",108,28,40,-12
"Broken Flowers","2005","Comedy","R",107,87,70,17
"Brooklyn","2015","Drama","PG-13",112,97,87,10
"Brooklyn's Finest","2010","Action & Adventure","R",125,45,46,-1
"Brother Bear","2003","Animation","G",85,37,65,-28
"Brothers","2009","Drama","R",104,64,62,2
"Bruce Almighty","2003","Comedy","PG-13",101,48,57,-9
"Bruno","2009","Comedy","R",82,67,41,26
"Bubba Ho-Tep","2003","Comedy","R",92,78,79,-1
"Buck","2011","Documentary","PG",88,90,89,1
"Buffalo Soldiers","2001","Comedy","R",98,73,72,1
"Bullet to the Head","2013","Action & Adventure","R",91,45,39,6
"Bulletproof Monk","2003","Action & Adventure","PG-13",104,23,38,-15
"Bumblebee","2018","Action & Adventure","PG-13",114,91,74,17
"Burlesque","2010","Drama","PG-13",116,37,64,-27
"Burn After Reading","2008","Comedy","R",95,78,65,13
"Burnt","2015","Comedy","R",100,28,44,-16
"By The Sea","2015","Drama","R",122,34,28,6
"CHIPS","2017","Action & Adventure","R",101,18,45,-27
"Cabin Fever","2002","Horror","R",94,62,44,18
"Cadillac Records","2008","Drama","R",108,67,65,2
"Café Society","2016","Comedy","PG-13",96,71,56,15
"Cake","2015","Drama","R",102,48,44,4
"Calendar Girls","2003","Comedy","PG-13",108,74,67,7
"Call Me by Your Name","2018","Drama","R",132,94,86,8
"Cameraperson","2016","Documentary","NR",102,99,68,31
"Camp","2003","Comedy","PG-13",114,64,68,-4
"Capernaum (Capharnaüm)","2018","Drama","NR",130,90,92,-2
"Capitalism: A Love Story","2009","Documentary","R",127,74,74,0
"Capone","2020","Drama","R",103,41,25,16
"Capote","2005","Drama","R",115,90,82,8
"Captain America: Civil War","2016","Action & Adventure","PG-13",146,91,89,2
"Captain America: The First Avenger","2011","Action & Adventure","PG-13",124,80,74,6
"Captain America: The Winter Soldier","2014","Action & Adventure","PG-13",135,90,92,-2
"Captain Corelli's Mandolin","2001","Drama","R",127,28,50,-22
"Captain Fantastic","2016","Drama","R",119,83,85,-2
"Captain Marvel","2019","Action & Adventure","PG-13",124,79,47,32
"Captain Phillips","2013","Drama","PG-13",133,93,89,4
"Captain Underpants: The First Epic Movie (Captain Underpants)","2017","Animation","PG",89,87,61,26
"Capturing the Friedmans","2003","Documentary","R",107,97,89,8
"Carnage","2011","Comedy","R",79,70,66,4
"Carol","2015","Drama","R",118,94,74,20
"Cars","2006","Action & Adventure","G",117,75,79,-4
"Cars 2","2011","Action & Adventure","G",107,39,49,-10
"Cars 3","2017","Animation","G",109,70,69,1
"Casa de los Babys","2003","Drama","R",95,58,50,8
"Casanova","2005","Comedy","R",111,43,58,-15
"Cast Away","2000","Action & Adventure","PG-13",143,88,84,4
"Catch Me If You Can","2002","Action & Adventure","PG-13",140,96,89,7
"Catch a Fire","2006","Drama","PG-13",102,75,71,4
"Catch and Release","2007","Comedy","PG-13",111,22,55,-33
"Catfish","2010","Documentary","PG-13",88,80,71,9
"Cats","2019","Comedy","PG",110,20,53,-33
"Cats & Dogs","2001","Action & Adventure","PG",87,54,32,22
"Catwoman","2004","Action & Adventure","PG-13",104,9,18,-9
"Cave of Forgotten Dreams","2011","Documentary","G",90,96,73,23
"Cedar Rapids","2011","Comedy","R",87,86,59,27
"Celeste and Jesse Forever","2012","Comedy","R",90,71,62,9
"Cellular","2004","Action & Adventure","PG-13",92,55,59,-4
"Central Intelligence","2016","Action & Adventure","PG-13",107,71,61,10
"Centurion","2010","Action & Adventure","R",97,61,43,18
"Certain Women","2016","Drama","R",107,91,51,40
"Changeling","2008","Drama","R",141,62,82,-20
"Changing Lanes","2002","Action & Adventure","R",98,77,53,24
"Chappie","2015","Action & Adventure","R",120,33,56,-23
"Charlie Bartlett","2007","Comedy","R",98,57,71,-14
"Charlie St. Cloud","2010","Drama","PG-13",99,28,60,-32
"Charlie Wilson's War","2007","Comedy","R",102,82,73,9
"Charlie and the Chocolate Factory","2005","Comedy","PG",115,83,51,32
"Charlie's Angels","2000","Action & Adventure","PG-13",98,68,45,23
"Charlie's Angels - Full Throttle","2003","Action & Adventure","PG-13",111,42,40,2
"Chasing Liberty","2004","Action & Adventure","PG-13",110,18,60,-42
"Cheaper by the Dozen","2003","Comedy","PG",98,24,56,-32
"Chef","2014","Comedy","R",115,87,85,2
"Chi-Raq","2015","Drama","R",127,82,49,33
"Chicago","2002","Comedy","PG-13",113,86,83,3
"Chicken Little","2005","Action & Adventure","G",81,37,47,-10
"Chicken Run","2000","Action & Adventure","G",85,97,64,33
"Children of Men","2006","Drama","R",109,92,85,7
"Chloe","2010","Drama","R",96,51,39,12
"Chocolat","2000","Comedy","PG-13",121,62,83,-21
"Choke","2008","Comedy","R",92,55,52,3
"Christmas With the Kranks","2004","Comedy","PG",98,5,38,-33
"Christopher Robin","2018","Action & Adventure","PG",104,73,83,-10
"Churchill","2017","Drama","PG",105,49,55,-6
"Cidade de Deus (City of God)","2003","Action & Adventure","R",131,91,97,-6
"Cinderella Man","2005","Action & Adventure","PG-13",144,80,91,-11
"Cirque du Freak: The Vampire's Assistant","2009","Action & Adventure","PG-13",109,38,42,-4
"Citizenfour","2014","Documentary","R",114,96,87,9
"City Island","2010","Comedy","PG-13",103,82,79,3
"City by the Sea","2002","Drama","R",108,48,40,8
